   ,SUBURB           ,ADDRESS                                                           ,bedroom_count,Type          ,dwelling_type          ,sold_price,Method        ,agency_name                                                  ,Date Sold ,postcode,Population,Distance from CBD,Hospital,School,Super Market,latitude           ,longitude
531,DENISTONE WEST   ,"19 Perkins Street, Denistone West"                               ,3            ,h             ,House                  ,1400000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2114    ,930       ,14.1             ,0       ,0     ,0           ,-33.800602000000005,151.07591200000002
532,DENISTONE WEST   ,"19 Perkins Street, Denistone West"                               ,3            ,h             ,House                  ,1400000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2114    ,930       ,14.1             ,0       ,0     ,0           ,-33.800602000000005,151.07591200000002
533,DRUMMOYNE        ,"49 Formosa Street, Drummoyne"                                    ,2            ,h             ,Semi-Detached          ,1430000.0 ,Auction       ,Warwick Williams Real Estate                                 ,19/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.853725399999995,151.155838
534,DRUMMOYNE        ,"36 Moore Street, Drummoyne"                                      ,3            ,h             ,House                  ,1900000.0 ,Auction       ,Ray White Drummoyne                                          ,19/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.85284          ,151.14666699999998
535,DRUMMOYNE        ,"49 Formosa Street, Drummoyne"                                    ,2            ,h             ,Semi-Detached          ,1430000.0 ,Auction       ,Warwick Williams Real Estate                                 ,19/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.853725399999995,151.155838
536,DRUMMOYNE        ,"36 Moore Street, Drummoyne"                                      ,3            ,h             ,House                  ,1900000.0 ,Auction       ,Ray White Drummoyne                                          ,19/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.85284          ,151.14666699999998
537,DULWICH HILL     ,"3/96 Hercules Street, Dulwich Hill"                              ,3            ,t             ,Townhouse              ,1550000.0 ,Auction       ,The Agency Inner West                                        ,19/05/2018,2203    ,13710     ,7.2              ,0       ,4     ,0           ,-33.9088478        ,151.13841200000002
538,DULWICH HILL     ,"47 Windsor Road, Dulwich Hill"                                   ,2            ,h             ,House                  ,1270000.0 ,Auction       ,The Agency Inner West                                        ,19/05/2018,2203    ,13710     ,7.2              ,0       ,4     ,0           ,-33.8979874        ,151.139847
539,DULWICH HILL     ,"16 Channel Street, Dulwich Hill"                                 ,4            ,h             ,House                  ,1650000.0 ,Auction       ,Hudson McHugh                                                ,19/05/2018,2203    ,13710     ,7.2              ,0       ,4     ,0           ,-33.89713          ,151.140976
540,EARLWOOD         ,"24 Nicoll Avenue, Earlwood"                                      ,3            ,h             ,House                  ,1355000.0 ,Auction       ,Raine & Horne Bardwell Park                                  ,19/05/2018,2206    ,17742     ,9.9              ,0       ,4     ,0           ,-33.9261131        ,151.11961399999998
541,EARLWOOD         ,"30 Woolcott Street, Earlwood"                                    ,3            ,h             ,House                  ,1200000.0 ,Auction       ,McGrath Leichhardt                                           ,19/05/2018,2206    ,17742     ,9.9              ,0       ,4     ,0           ,-33.9188461        ,151.119583
542,EASTWOOD         ,"6/4-4B Rutledge Street, Eastwood"                                ,3            ,h             ,Villa                  ,1280000.0 ,Auction       ,NNW Property                                                 ,19/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.793125200000006,151.08106999999998
543,EASTWOOD         ,"168 Shaftsbury Road, Eastwood"                                   ,4            ,h             ,House                  ,2880000.0 ,Auction       ,Anthony Trees First National                                 ,19/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.7928734        ,151.07745400000002
544,EASTWOOD         ,"6/4-4B Rutledge Street, Eastwood"                                ,3            ,h             ,Villa                  ,1280000.0 ,Auction       ,NNW Property                                                 ,19/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.793125200000006,151.08106999999998
545,EASTWOOD         ,"168 Shaftsbury Road, Eastwood"                                   ,4            ,h             ,House                  ,2880000.0 ,Auction       ,Anthony Trees First National                                 ,19/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.7928734        ,151.07745400000002
546,EDENSOR PARK     ,"7 Strickland Place, Edensor Park"                                ,4            ,h             ,House                  ,1312000.0 ,Auction       ,Ray White Wetherill Park                                     ,19/05/2018,2176    ,9772      ,30.7             ,0       ,2     ,0           ,-33.8820724        ,150.86656200000002
547,EPPING           ,"41 Ray Road, Epping"                                             ,3            ,h             ,House                  ,1810000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.767067         ,151.07873500000002
548,EPPING           ,"100 Kent Street, Epping"                                         ,3            ,h             ,House                  ,1440000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.7650032        ,151.073853
549,EPPING           ,"9/16 Hillside Crescent, Epping"                                  ,3            ,h             ,Villa                  ,1080000.0 ,Private Treaty,Tracy Yap Realty                                             ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.780117         ,151.081223
550,EPPING           ,"8/7 Ray Road, Epping"                                            ,2            ,u             ,Apartment / Unit / Flat,778000.0  ,Auction       ,Tracy Yap Realty                                             ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.770477299999996,151.08010900000002
551,EPPING           ,"41 Ray Road, Epping"                                             ,3            ,h             ,House                  ,1810000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.767067         ,151.07873500000002
552,EPPING           ,"100 Kent Street, Epping"                                         ,3            ,h             ,House                  ,1440000.0 ,Auction       ,McGrath Epping                                               ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.7650032        ,151.073853
553,EPPING           ,"9/16 Hillside Crescent, Epping"                                  ,3            ,h             ,Villa                  ,1080000.0 ,Private Treaty,Tracy Yap Realty                                             ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.780117         ,151.081223
554,EPPING           ,"8/7 Ray Road, Epping"                                            ,2            ,u             ,Apartment / Unit / Flat,778000.0  ,Auction       ,Tracy Yap Realty                                             ,19/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.770477299999996,151.08010900000002
555,ERSKINEVILLE     ,"104/70 MacDonald Street, Erskineville"                           ,1            ,u             ,Apartment / Unit / Flat,877500.0  ,Auction       ,LJ Hooker Green Square | Waterloo                            ,19/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9037           ,151.185226
556,ERSKINEVILLE     ,"39 Charles Street, Erskineville"                                 ,3            ,h             ,House                  ,1720000.0 ,Auction       ,Ray White Surry Hills | Alexandria | Glebe | Erskineville    ,19/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.8985443        ,151.18455500000002
557,ERSKINEVILLE     ,"104/70 MacDonald Street, Erskineville"                           ,1            ,u             ,Apartment / Unit / Flat,877500.0  ,Auction       ,LJ Hooker Green Square | Waterloo                            ,19/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.9037           ,151.185226
558,ERSKINEVILLE     ,"39 Charles Street, Erskineville"                                 ,3            ,h             ,House                  ,1720000.0 ,Auction       ,Ray White Surry Hills | Alexandria | Glebe | Erskineville    ,19/05/2018,2043    ,8014      ,4.2              ,0       ,2     ,0           ,-33.8985443        ,151.18455500000002
559,FAIRLIGHT        ,"4/28 Lauderdale Avenue, Fairlight"                               ,3            ,u             ,Apartment / Unit / Flat,2000000.0 ,others        ,Guildea Residential                                          ,19/05/2018,2094    ,5841      ,9.8              ,0       ,0     ,0           ,-33.79853          ,151.274277
560,FAIRLIGHT        ,"58/1 Lauderdale Avenue, Fairlight"                               ,4            ,u             ,Apartment / Unit / Flat,4860000.0 ,Auction       ,Stone Real Estate Manly                                      ,19/05/2018,2094    ,5841      ,9.8              ,0       ,0     ,0           ,-33.79987          ,151.27626
561,GLENMORE PARK    ,"25 Glenholme Drive, Glenmore Park"                               ,4            ,h             ,House                  ,715000.0  ,Private Treaty,Agency Plus                                                  ,19/05/2018,2745    ,23002     ,54.6             ,0       ,7     ,0           ,-33.801520000000004,150.682587
562,HORNSBY          ,"25 Manor Road, Hornsby"                                          ,4            ,h             ,House                  ,905000.0  ,Auction       ,Ray White Hornsby                                            ,19/05/2018,2077    ,22167     ,20.6             ,1       ,6     ,0           ,-33.693214399999995,151.0921
563,HORNSBY          ,"1 Sutton Street, Hornsby"                                        ,4            ,h             ,House                  ,1075000.0 ,Auction       ,Belle Property Hornsby                                       ,19/05/2018,2077    ,22167     ,20.6             ,1       ,6     ,0           ,-33.684627500000005,151.0964
564,HORNSBY HEIGHTS  ,"32 Marine Crescent, Hornsby Heights"                             ,4            ,h             ,House                  ,1285000.0 ,Private Treaty,Belle Property Hornsby                                       ,19/05/2018,2077    ,6309      ,24.2             ,0       ,0     ,0           ,-33.6820145        ,151.090714
565,HUNTLEYS COVE    ,"29 Waruda Place, Huntleys Cove"                                  ,4            ,h             ,House                  ,3855000.0 ,Auction       ,BresicWhitney Hunters Hill                                   ,19/05/2018,2111    ,748       ,6.5              ,0       ,0     ,0           ,-33.8377724        ,151.141739
566,HUNTLEYS COVE    ,"29 Waruda Place, Huntleys Cove"                                  ,4            ,h             ,House                  ,3855000.0 ,Auction       ,BresicWhitney Hunters Hill                                   ,19/05/2018,2111    ,748       ,6.5              ,0       ,0     ,0           ,-33.8377724        ,151.141739
567,KENSINGTON       ,"44 Milroy Avenue, Kensington"                                    ,3            ,h             ,House                  ,3400000.0 ,Auction       ,Ballard Property                                             ,19/05/2018,2033    ,15002     ,4.9              ,0       ,3     ,0           ,-33.90854          ,151.217178
568,KILLARA          ,"22/497 Pacific Highway, Killara"                                 ,1            ,u             ,Apartment / Unit / Flat,620000.0  ,Auction       ,McGrath Hornsby                                              ,19/05/2018,2071    ,10576     ,12.0             ,0       ,3     ,0           ,-33.7700844        ,151.160965
569,KIRRIBILLI       ,"5/79 Kirribilli Avenue, Kirribilli"                              ,2            ,u             ,Apartment / Unit / Flat,1075000.0 ,others        ,Raine & Horne Neutral Bay                                    ,19/05/2018,2061    ,3818      ,2.4              ,0       ,3     ,0           ,-33.85033          ,151.2162
570,LANE COVE        ,"46/626-632 Mowbray Road, Lane Cove"                              ,1            ,u             ,Apartment / Unit / Flat,680500.0  ,Auction       ,Richardson & Wrench Willoughby                               ,19/05/2018,2066    ,10815     ,6.8              ,0       ,7     ,0           ,-33.8049           ,151.156128
571,LANE COVE        ,"15/9 Burley Street, Lane Cove"                                   ,2            ,u             ,Apartment / Unit / Flat,806000.0  ,Auction       ,Ray White Lane Cove                                          ,19/05/2018,2066    ,10815     ,6.8              ,0       ,7     ,0           ,-33.810554499999995,151.174942
572,LEICHHARDT       ,"141 Flood Street, Leichhardt"                                    ,2            ,h             ,House                  ,1565000.0 ,Auction       ,The Agency Inner West                                        ,19/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.88173          ,151.15033
573,LEICHHARDT       ,"141 Flood Street, Leichhardt"                                    ,2            ,h             ,House                  ,1565000.0 ,Auction       ,The Agency Inner West                                        ,19/05/2018,2040    ,14622     ,5.0              ,0       ,6     ,0           ,-33.88173          ,151.15033
574,LILYFIELD        ,"2/30 Alfred Street, Lilyfield"                                   ,2            ,t             ,Townhouse              ,1300000.0 ,Auction       ,BresicWhitney Balmain                                        ,19/05/2018,2040    ,7617      ,3.9              ,0       ,1     ,0           ,-33.877555799999996,151.16038500000002
575,LITTLE BAY       ,"28 Abbe Receveur Place, Little Bay"                              ,4            ,h             ,House                  ,1735000.0 ,Auction       ,McGrath Coogee                                               ,19/05/2018,2036    ,4477      ,13.1             ,0       ,0     ,0           ,-33.98379          ,151.236267
576,MANLY            ,"2/113 Sydney Road, Manly"                                        ,3            ,u             ,Apartment / Unit / Flat,1290000.0 ,Auction       ,Clarke & Humel Property                                      ,19/05/2018,2095    ,15863     ,10.8             ,1       ,7     ,0           ,-33.79626          ,151.279572
577,MARAYONG         ,"38 The Crescent, Marayong"                                       ,4            ,h             ,House                  ,701000.0  ,Auction       ,Ray White Nolan & Iken                                       ,19/05/2018,2148    ,7706      ,31.5             ,0       ,5     ,0           ,-33.744716600000004,150.89875800000002
578,MARSFIELD        ,"5/4-6 Herring Road, Marsfield"                                   ,3            ,h             ,Villa                  ,1233000.0 ,Auction       ,NNW Property                                                 ,19/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.788734399999996,151.1054
579,MARSFIELD        ,"2/1 Dayman Place, Marsfield"                                     ,2            ,u             ,Apartment / Unit / Flat,840000.0  ,Auction       ,Tracy Yap Realty                                             ,19/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.772            ,151.102081
580,MARSFIELD        ,"5/4-6 Herring Road, Marsfield"                                   ,3            ,h             ,Villa                  ,1233000.0 ,Auction       ,NNW Property                                                 ,19/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.788734399999996,151.1054
581,MARSFIELD        ,"2/1 Dayman Place, Marsfield"                                     ,2            ,u             ,Apartment / Unit / Flat,840000.0  ,Auction       ,Tracy Yap Realty                                             ,19/05/2018,2122    ,13295     ,13.9             ,0       ,1     ,0           ,-33.772            ,151.102081
582,MOSMAN           ,"12/17 Mosman Street, Mosman"                                     ,2            ,u             ,Apartment / Unit / Flat,1400000.0 ,Auction       ,Vernon Partners                                              ,19/05/2018,2088    ,28476     ,5.4              ,0       ,9     ,0           ,-33.837532         ,151.234421
583,MOSMAN           ,"4/14 Parriwi  Road, Mosman"                                      ,5            ,u             ,Apartment / Unit / Flat,3875000.0 ,Auction       ,O'Gorman and Partners Real Estate Co                         ,19/05/2018,2088    ,28476     ,5.4              ,0       ,9     ,0           ,-33.8156776        ,151.244034
584,NARRAWEENA       ,"31 Oceana Street, Narraweena"                                    ,3            ,h             ,House                  ,1421000.0 ,Auction       ,Stone Real Estate Dee Why Collaroy                           ,19/05/2018,2099    ,6608      ,14.5             ,0       ,4     ,0           ,-33.7547722        ,151.27664199999998
585,NEUTRAL BAY      ,"1/4A Hayes Street, Neutral Bay"                                  ,1            ,u             ,Apartment / Unit / Flat,580500.0  ,Auction       ,Home Estate Agents                                           ,19/05/2018,2089    ,10483     ,4.2              ,0       ,2     ,0           ,-33.84128          ,151.2186
586,NEWTOWN          ,"30 Harold Street, Newtown"                                       ,3            ,h             ,House                  ,2138000.0 ,Auction       ,BresicWhitney Glebe                                          ,19/05/2018,2042    ,15025     ,4.1              ,0       ,6     ,0           ,-33.90099          ,151.1805
587,NEWTOWN          ,"18/3-13 Erskineville Road, Newtown"                              ,1            ,u             ,Apartment / Unit / Flat,660000.0  ,Auction       ,Urbane Property                                              ,19/05/2018,2042    ,15025     ,4.1              ,0       ,6     ,0           ,-33.8974037        ,151.180634
588,NORTH MANLY      ,"62 Riverview Parade, North Manly"                                ,5            ,h             ,House                  ,5000000.0 ,others        ,Rowe Partners Real Estate                                    ,19/05/2018,2100    ,3089      ,11.7             ,0       ,0     ,0           ,-33.7841148        ,151.2763
589,NORTH RYDE       ,"43 Numa Road, North Ryde"                                        ,3            ,h             ,House                  ,1620000.0 ,Auction       ,Ray White North Ryde | Macquarie Park                        ,19/05/2018,2113    ,10857     ,10.9             ,0       ,6     ,0           ,-33.80415          ,151.120026
590,NORTH RYDE       ,"43 Numa Road, North Ryde"                                        ,3            ,h             ,House                  ,1620000.0 ,Auction       ,Ray White North Ryde | Macquarie Park                        ,19/05/2018,2113    ,10857     ,10.9             ,0       ,6     ,0           ,-33.80415          ,151.120026
591,NORTH SYDNEY     ,"28/267 Miller Street, North Sydney"                              ,1            ,u             ,Apartment / Unit / Flat,1030000.0 ,Auction       ,The Agency Eastern Suburbs                                   ,19/05/2018,2060    ,7705      ,3.2              ,0       ,8     ,0           ,-33.8335228        ,151.20834399999998
592,PETERSHAM        ,"68 Margaret St, Petersham"                                       ,3            ,h             ,House                  ,1460000.0 ,Auction       ,Greencliff Agency                                            ,19/05/2018,2049    ,8115      ,5.9              ,0       ,4     ,0           ,-33.88896          ,151.159332
593,PYMBLE           ,"10 Wellesley Road, Pymble"                                       ,3            ,h             ,House                  ,2370000.0 ,Auction       ,Savills                                                      ,19/05/2018,2073    ,11056     ,15.0             ,0       ,5     ,0           ,-33.74545          ,151.146347
594,PYMBLE           ,"50 Station Street, Pymble"                                       ,2            ,h             ,House                  ,1615000.0 ,Private Treaty,Asset Realty                                                 ,19/05/2018,2073    ,11056     ,15.0             ,0       ,5     ,0           ,-33.73382          ,151.142258
595,QUAKERS HILL     ,"9/23 Pye Road, Quakers Hill"                                     ,2            ,t             ,Townhouse              ,540000.0  ,Private Treaty,Better Buildings Realty                                      ,19/05/2018,2763    ,27075     ,33.8             ,0       ,8     ,0           ,-33.7318764        ,150.892548
596,QUEENSCLIFF      ,"137 Queenscliff  Road, Queenscliff"                              ,6            ,h             ,House                  ,3545000.0 ,Auction       ,Stone Real Estate Manly                                      ,19/05/2018,2096    ,3377      ,11.8             ,0       ,0     ,0           ,-33.781772600000004,151.28093
597,QUEENSCLIFF      ,"327/168 Queenscliff Road, Queenscliff"                           ,2            ,u             ,Apartment / Unit / Flat,1060000.0 ,Auction       ,McGrath Manly                                                ,19/05/2018,2096    ,3377      ,11.8             ,0       ,0     ,0           ,-33.781967200000004,151.279709
598,RANDWICK         ,"20 Helena Street, Randwick"                                      ,3            ,h             ,House                  ,2015000.0 ,others        ,Belle Property Bondi Junction                                ,19/05/2018,2031    ,29990     ,6.0              ,3       ,13    ,0           ,-33.9247322        ,151.241043
599,RANDWICK         ,"14/72 Albion Street, Randwick"                                   ,2            ,u             ,Apartment / Unit / Flat,855000.0  ,Auction       ,LJ Hooker Randwick                                           ,19/05/2018,2031    ,29990     ,6.0              ,3       ,13    ,0           ,-33.906986200000006,151.2527
600,RANDWICK         ,"9/23 Waratah Avenue, Randwick"                                   ,2            ,u             ,Apartment / Unit / Flat,851000.0  ,Auction       ,Coogee Real Estate                                           ,19/05/2018,2031    ,29990     ,6.0              ,3       ,13    ,0           ,-33.9142723        ,151.239349
601,RANDWICK         ,"3405/88-98 King Street, Randwick"                                ,2            ,u             ,Apartment / Unit / Flat,1280000.0 ,Auction       ,N G Farah Pty Ltd                                            ,19/05/2018,2031    ,29990     ,6.0              ,3       ,13    ,0           ,-33.90638          ,151.237091
602,REDFERN          ,"19 Vine Street, Redfern"                                         ,3            ,h             ,Terrace                ,1622000.0 ,Auction       ,Belle Property Surry Hills                                   ,19/05/2018,2016    ,13213     ,2.9              ,0       ,3     ,0           ,-33.8897438        ,151.1988
603,ROZELLE          ,"102 Terry  Street, Rozelle"                                      ,4            ,h             ,House                  ,2200000.0 ,Auction       ,Cobden & Hayson                                              ,19/05/2018,2039    ,8726      ,3.4              ,0       ,2     ,0           ,-33.86065670000001 ,151.1703
604,STANMORE         ,"121 Macaulay Road, Stanmore"                                     ,3            ,h             ,House                  ,1310000.0 ,Private Treaty,Harris Partners                                              ,19/05/2018,2048    ,7940      ,5.1              ,0       ,4     ,0           ,-33.89009          ,151.165344
605,SURRY HILLS      ,"27/2-4 Bellevue Street, Surry Hills"                             ,4            ,u             ,Apartment / Unit / Flat,2370000.0 ,Auction       ,Belle Property Surry Hills                                   ,19/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.88354          ,151.211975
606,SURRY HILLS      ,"714/8 Cooper Street, Surry Hills"                                ,1            ,u             ,Apartment / Unit / Flat,795000.0  ,Private Treaty,McGrath Double Bay                                           ,19/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.8851547        ,151.208542
607,SURRY HILLS      ,"27/2-4 Bellevue Street, Surry Hills"                             ,4            ,u             ,Apartment / Unit / Flat,2370000.0 ,Auction       ,Belle Property Surry Hills                                   ,19/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.88354          ,151.211975
608,SURRY HILLS      ,"714/8 Cooper Street, Surry Hills"                                ,1            ,u             ,Apartment / Unit / Flat,795000.0  ,Private Treaty,McGrath Double Bay                                           ,19/05/2018,2010    ,16416     ,2.5              ,0       ,7     ,0           ,-33.8851547        ,151.208542
609,SYDNEY           ,"3012/91 Liverpool Street, Sydney"                                ,2            ,u             ,Apartment / Unit / Flat,1399000.0 ,Auction       ,Ray White Surry Hills | Alexandria | Glebe | Erskineville    ,19/05/2018,2000    ,17252     ,0.0              ,1       ,10    ,0           ,-33.87682720000001 ,151.206726
610,SYDNEY           ,"3012/91 Liverpool Street, Sydney"                                ,2            ,u             ,Apartment / Unit / Flat,1399000.0 ,Auction       ,Ray White Surry Hills | Alexandria | Glebe | Erskineville    ,19/05/2018,2000    ,17252     ,0.0              ,1       ,10    ,0           ,-33.87682720000001 ,151.206726
611,SYDNEY           ,"3012/91 Liverpool Street, Sydney"                                ,2            ,u             ,Apartment / Unit / Flat,1399000.0 ,Auction       ,Ray White Surry Hills | Alexandria | Glebe | Erskineville    ,19/05/2018,2000    ,17252     ,0.0              ,1       ,10    ,0           ,-33.87682720000001 ,151.206726
612,TELOPEA          ,"3 Megan Street, Telopea"                                         ,4            ,h             ,House                  ,1260000.0 ,Auction       ,Maison Bridge Property                                       ,19/05/2018,2117    ,5432      ,16.9             ,0       ,1     ,0           ,-33.787209999999995,151.035416
613,VAUCLUSE         ,"2/30A Diamond Bay Road, Vaucluse"                                ,3            ,u             ,Apartment / Unit / Flat,1925000.0 ,Auction       ,Ray White Double Bay                                         ,19/05/2018,2030    ,9333      ,6.6              ,0       ,1     ,0           ,-33.860843700000004,151.280457
614,WAHROONGA        ,"45 Exeter Road, Wahroonga"                                       ,3            ,h             ,House                  ,1600000.0 ,Auction       ,Ray White Upper North Shore                                  ,19/05/2018,2076    ,17364     ,18.7             ,1       ,13    ,0           ,-33.7259521        ,151.107025
615,WAHROONGA        ,"66 Fox Valley Road, Wahroonga"                                   ,4            ,h             ,House                  ,2000137.0 ,Private Treaty,Ray White Upper North Shore                                  ,19/05/2018,2076    ,17364     ,18.7             ,1       ,13    ,0           ,-33.72847          ,151.1115
616,WETHERILL PARK   ,"45 Dickens Road, Wetherill Park"                                 ,4            ,h             ,House                  ,775000.0  ,Auction       ,Ray White Wetherill Park                                     ,19/05/2018,2164    ,6126      ,27.2             ,0       ,0     ,0           ,-33.857276899999995,150.90936299999998
617,WILLOUGHBY       ,"10 Marlborough Road, Willoughby"                                 ,3            ,h             ,House                  ,1860000.0 ,Auction       ,Belle Property Northbridge                                   ,19/05/2018,2068    ,6540      ,7.3              ,0       ,0     ,0           ,-33.8101234        ,151.202042
618,WILLOUGHBY       ,"23 Hollywood Crescent, Willoughby"                               ,3            ,h             ,House                  ,2870000.0 ,Auction       ,Richardson & Wrench Willoughby                               ,19/05/2018,2068    ,6540      ,7.3              ,0       ,0     ,0           ,-33.8000336        ,151.200928
619,WILLOUGHBY       ,"8 Rosewall Street, Willoughby"                                   ,6            ,h             ,House                  ,2600000.0 ,Auction       ,McGrath Lower North Shore - Willoughby                       ,19/05/2018,2068    ,6540      ,7.3              ,0       ,0     ,0           ,-33.798645         ,151.20065300000002
620,WILLOUGHBY       ,"49 Frenchs Road, Willoughby"                                     ,3            ,h             ,House                  ,2025000.0 ,Auction       ,Laing+Simmons Narrabeen                                      ,19/05/2018,2068    ,6540      ,7.3              ,0       ,0     ,0           ,-33.8068466        ,151.200027
621,CARLINGFORD      ,"26 Karingal Ave, Carlingford"                                    ,4            ,h             ,House                  ,1310000.0 ,Private Treaty,Showcase Realty                                              ,20/05/2018,2118    ,24394     ,17.4             ,0       ,7     ,0           ,-33.77983          ,151.039536
622,CARLINGFORD      ,"26 Karingal Ave, Carlingford"                                    ,4            ,h             ,House                  ,1310000.0 ,Private Treaty,Showcase Realty                                              ,20/05/2018,2118    ,24394     ,17.4             ,0       ,7     ,0           ,-33.77983          ,151.039536
623,MOUNT KURING-GAI ,"17 Nyara Road, Mount Kuring-Gai"                                 ,5            ,h             ,House                  ,1250000.0 ,Auction       ,LJ Hooker Hornsby                                            ,20/05/2018,2080    ,1704      ,25.4             ,0       ,1     ,0           ,-33.6564369        ,151.131516
624,PADDINGTON       ,"426 Moore Park Road, Paddington"                                 ,3            ,h             ,House                  ,2200000.0 ,Private Treaty,The Agency Eastern Suburbs                                   ,20/05/2018,2021    ,12909     ,2.7              ,0       ,4     ,0           ,-33.88965          ,151.231079
625,QUAKERS HILL     ,"5/27-31 Manorhouse Boulevard, Quakers Hill"                      ,3            ,h             ,House                  ,550000.0  ,Private Treaty,Norwest Select Property Group                                ,20/05/2018,2763    ,27075     ,33.8             ,0       ,8     ,0           ,-33.7204247        ,150.881241
626,ALLAMBIE HEIGHTS ,"6 Lae Place, Allambie Heights"                                   ,5            ,h             ,House                  ,2380000.0 ,others        ,Rowe Partners Real Estate                                    ,21/05/2018,2100    ,7006      ,12.0             ,0       ,3     ,0           ,-33.75775529999999 ,151.248
627,ALLAMBIE HEIGHTS ,"6 Lae Place, Allambie Heights"                                   ,5            ,h             ,House                  ,2380000.0 ,others        ,Rowe Partners Real Estate                                    ,21/05/2018,2100    ,7006      ,12.0             ,0       ,3     ,0           ,-33.75775529999999 ,151.248
628,ARNCLIFFE        ,"35 Station Street, Arncliffe"                                    ,4            ,h             ,House                  ,1715000.0 ,Auction       ,McGrath Bankstown                                            ,21/05/2018,2205    ,10590     ,9.5              ,0       ,6     ,0           ,-33.93578          ,151.144974
629,ASHFIELD         ,"39 ORMOND STREET, Ashfield"                                      ,3            ,h             ,House                  ,1570000.0 ,Auction       ,Raine & Horne Leichhardt                                     ,21/05/2018,2131    ,23839     ,7.9              ,0       ,6     ,0           ,-33.886379999999996,151.13558999999998
630,BALMAIN          ,"88 Beattie Street, Balmain"                                      ,4            ,h             ,Terrace                ,3995000.0 ,Auction       ,BresicWhitney Glebe                                          ,21/05/2018,2041    ,10447     ,2.9              ,1       ,4     ,0           ,-33.858894299999996,151.177826
631,BALMAIN          ,"88 Beattie Street, Balmain"                                      ,4            ,h             ,Terrace                ,3995000.0 ,Auction       ,BresicWhitney Glebe                                          ,21/05/2018,2041    ,10447     ,2.9              ,1       ,4     ,0           ,-33.858894299999996,151.177826
632,BANKSTOWN        ,"31/17 Rickard Road, Bankstown"                                   ,3            ,u             ,Apartment / Unit / Flat,540000.0  ,Private Treaty,Raine & Horne City Living                                    ,21/05/2018,2200    ,32116     ,16.9             ,1       ,13    ,0           ,-33.914229999999996,151.0402
633,BEECROFT         ,"70 Hannah Street, Beecroft"                                      ,4            ,h             ,House                  ,1750000.0 ,Private Treaty,Belle Property Beecroft                                      ,21/05/2018,2119    ,9395      ,18.6             ,0       ,2     ,0           ,-33.750209999999996,151.057877
634,BEECROFT         ,"70 Hannah Street, Beecroft"                                      ,4            ,h             ,House                  ,1750000.0 ,Private Treaty,Belle Property Beecroft                                      ,21/05/2018,2119    ,9395      ,18.6             ,0       ,2     ,0           ,-33.750209999999996,151.057877
635,BELLEVUE HILL    ,"8/226 Old South Head  Road, Bellevue Hill"                       ,1            ,u             ,Apartment / Unit / Flat,695000.0  ,Auction       ,Belle Property Randwick                                      ,21/05/2018,2023    ,10719     ,5.3              ,0       ,8     ,0           ,-33.88775          ,151.264175
636,BLACKTOWN        ,"2 Wistaria Place, Blacktown"                                     ,3            ,h             ,House                  ,660000.0  ,Private Treaty,Starr Partners Blacktown                                     ,21/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.755703000000004,150.917465
637,BLACKTOWN        ,"8 Wattle Street, Blacktown"                                      ,5            ,h             ,House                  ,829000.0  ,Private Treaty,Sky Property Blacktown                                       ,21/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.7661934        ,150.889236
